MARKE,KOMERCINIS_PAV,ELEKTRINE_TP,APSKRITIS,PIRM_REG_METAI_LT
NISSAN,LEAF,Y,Kauno,2017-04
TESLA MOTORS,MODEL X,Y,Kauno,2017-05
NISSAN,LEAF,Y,Telšių,2017-09
NISSAN,NISSAN LEAF 40KWH,Y,Kauno,2018-11
NISSAN,LEAF,Y,Panevėžio,2019-06
FORD,FOCUS BEV,Y,Vilniaus,2020-02
NISSAN,NISSAN LEAF 24kWh,Y,Tauragės,2020-03
HYUNDAI,IONIQ,Y,Klaipėdos,2019-08
TESLA,MODEL S,Y,Marijampolės,2020-05
TESLA,MODEL S,Y,Klaipėdos,2020-05
TESLA,MODEL S,Y,Vilniaus,2020-03
SOLARIS,TROLLINO 12,Y,Kauno,2020-03
HYUNDAI,IONIQ,Y,Vilniaus,2020-03
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-03
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2020-04
TESLA,MODEL X 90D,Y,Šiaulių,2020-03
TESLA,MODEL 3,Y,Telšių,2020-02
PEUGEOT,2008,Y,Kauno,2020-10
LUQI,HL3.0,Y,Kauno,2020-09
BMW i,i3,Y,Kauno,2020-08
KREIDLER,MSG,Y,Vilniaus,2020-08
TESLA,MODEL 3,Y,Panevėžio,2020-11
NISSAN,LEAF 24KWH,Y,Vilniaus,2020-08
TESLA,MODEL S 85D,Y,Marijampolės,2021-01
XINRI,HAWK,Y,Telšių,2020-04
HYUNDAI,IONIQ,Y,Klaipėdos,2020-11
HYUNDAI,KONA. KAUAI,Y,Šiaulių,2020-06
NISSAN,LEAF,Y,Šiaulių,2020-10
CHEVROLET,BOLT EV,Y,Vilniaus,2020-08
NISSAN,E-NV200,Y,Vilniaus,2020-05
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-05
TESLA,MODEL 3,Y,Kauno,2020-10
SUNRA,HAWK,Y,Šiaulių,2020-12
HYUNDAI,IONIQ,Y,Kauno,2020-09
RENAULT,ZOE,Y,Vilniaus,2020-07
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2020-07
BMW i,I3S,Y,Vilniaus,2020-10
UG BEST,ROMEX,Y,Vilniaus,2020-07
HYUNDAI,KONA. KAUAI,Y,Panevėžio,2021-02
TESLA,MODEL S,Y,Šiaulių,2020-05
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2020-06
PORSCHE,TAYCAN 4S,Y,Vilniaus,2021-02
NISSAN,LEAF,Y,Kauno,2020-08
RENAULT,ZOE,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,UP!,Y,Klaipėdos,2020-12
NISSAN,LEAF,Y,Vilniaus,2020-11
JAGUAR,JAGUAR I-PACE,Y,Vilniaus,2020-12
FIAT,500E,Y,Kauno,2020-09
HYUNDAI,IONIQ,Y,Telšių,2021-01
TESLA,MODEL 3,Y,Klaipėdos,2020-12
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Kauno,2020-09
DOOHAN,DH-05-12,Y,Klaipėdos,2020-06
BMW,I3 S,Y,Vilniaus,2020-09
PEUGEOT,208,Y,Utenos,2020-08
TESLA,MODEL S,Y,Vilniaus,2021-02
TESLA,MODEL 3,Y,Vilniaus,2021-02
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
TORROT,MUVI,Y,Vilniaus,2020-10
NISSAN,LEAF,Y,Vilniaus,2020-11
TESLA,MODEL 3,Y,Klaipėdos,2021-01
FIAT,500 ELECTRIC,Y,Kauno,2020-05
MINI,COOPER SE,Y,Vilniaus,2021-01
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-05
SUNRA,HAWK,Y,Šiaulių,2020-11
SUNRA,HAWK,Y,Telšių,2020-11
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
HYUNDAI,KONA. KAUAI,Y,Šiaulių,2020-05
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
RENAULT,ZOE,Y,Kauno,2020-06
HYUNDAI,KONA. KAUAI,Y,Klaipėdos,2021-01
MAZDA,MAZDA MX-30,Y,Šiaulių,2020-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-05
FIAT,500E,Y,Klaipėdos,2020-07
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-09
VOLKSWAGEN. VW,UP!,Y,Šiaulių,2020-06
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-09
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
TESLA,MODEL S,Y,Vilniaus,2021-02
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-09
NISSAN,NISSAN LEAF 40KWH,Y,Klaipėdos,2020-12
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2020-10
SKODA,CITIGO,Y,Vilniaus,2020-11
SUNRA,HAWK,Y,Klaipėdos,2020-11
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
PEUGEOT,208,Y,Vilniaus,2020-08
NISSAN,NISSAN LEAF 40KWH,Y,Panevėžio,2021-01
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-11
RENAULT,ZOE,Y,Klaipėdos,2020-06
CHEVROLET,BOLT,Y,Telšių,2020-12
LUQI,HL4.0T,Y,Marijampolės,2020-06
NISSAN,LEAF,Y,Šiaulių,2021-01
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
NISSAN,LEAF,Y,Klaipėdos,2020-09
PEUGEOT,208,Y,Vilniaus,2020-08
NISSAN,LEAF,Y,Šiaulių,2020-10
SKODA,CITIGO,Y,Vilniaus,2020-12
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-06
SHANSU,EGREEN,Y,Panevėžio,2020-09
NISSAN,LEAF,Y,Vilniaus,2020-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-09
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2020-12
JAGUAR,JAGUAR I-PACE,Y,Kauno,2020-07
MANGOSTEEN,M1,Y,Klaipėdos,2020-07
BMW i,i3,Y,Vilniaus,2020-06
RENAULT,ZOE,Y,Vilniaus,2021-01
RENAULT,ZOE,Y,Vilniaus,2021-01
NISSAN,NISSAN LEAF 30KWH,Y,Vilniaus,2020-10
BMW i,i3,Y,Vilniaus,2020-08
YADEA,C-LINE,Y,Kauno,2020-08
TESLA,MODEL S,Y,Klaipėdos,2020-08
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2020-09
KIA,SOUL,Y,Vilniaus,2020-06
BMW i,I3S,Y,Vilniaus,2020-07
VOLKSWAGEN,GOLF,Y,Vilniaus,2020-09
NISSAN,NISSAN E-NV200,Y,Vilniaus,2020-06
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-01
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
SUNRA,HAWK,Y,Kauno,2020-07
RENAULT,ZOE,Y,Vilniaus,2020-12
SUNRA,HAWK,Y,Kauno,2020-10
KIA,NIRO,Y,Vilniaus,2021-01
NISSAN,NISSAN E-NV200,Y,Šiaulių,2020-09
BMW i,i3,Y,Vilniaus,2020-12
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-07
RENAULT,ZOE,Y,Vilniaus,2020-07
NISSAN,LEAF,Y,Panevėžio,2020-08
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-08
TESLA,MODEL 3,Y,Klaipėdos,2021-01
NISSAN,NISSAN LEAF 62KWH,Y,Kauno,2020-12
TESLA MOTORS,MODEL X,Y,Vilniaus,2020-05
SKODA,CITIGO,Y,Vilniaus,2020-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-07
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-08
SHANSU,EGREEN,Y,Kauno,2021-10
PORSCHE,TAYCAN 4S,Y,Vilniaus,2021-05
VOLKSWAGEN,UP!,Y,Klaipėdos,2021-08
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2021-07
PEUGEOT,ION,Y,Tauragės,2021-04
PEUGEOT,2008,Y,Vilniaus,2021-07
KIA,SOUL,Y,Klaipėdos,2021-05
DACIA,SPRING,Y,Vilniaus,2021-11
KIA,NIRO,Y,Vilniaus,2020-06
TESLA,MODEL 3,Y,Kauno,2020-09
RENAULT,ZOE,Y,Vilniaus,2020-11
NISSAN,LEAF,Y,Klaipėdos,2021-01
JAGUAR,JAGUAR I-PACE,Y,Vilniaus,2020-06
TESLA,MODEL S,Y,Klaipėdos,2020-08
SUNRA,HAWK,Y,Klaipėdos,2021-03
MANGOSTEEN,M1,Y,Klaipėdos,2020-10
NISSAN,LEAF,Y,Panevėžio,2020-07
