KIEKIS,PIRM_REG_METAI_LT,PIRM_REG_MEN_LT
87,2001,1
267,2001,2
371,2001,3
406,2001,4
456,2001,5
448,2001,6
419,2001,7
417,2001,8
374,2001,9
376,2001,10
403,2001,11
511,2001,12
258,2002,1
353,2002,2
574,2002,3
607,2002,4
850,2002,5
860,2002,6
628,2002,7
480,2002,8
402,2002,9
542,2002,10
615,2002,11
702,2002,12
541,2003,1
606,2003,2
783,2003,3
971,2003,4
996,2003,5
870,2003,6
948,2003,7
913,2003,8
844,2003,9
1010,2003,10
858,2003,11
1089,2003,12
751,2004,1
726,2004,2
1210,2004,3
1652,2004,4
1415,2004,5
1441,2004,6
1492,2004,7
1319,2004,8
1290,2004,9
1348,2004,10
1134,2004,11
1361,2004,12
1145,2005,1
1234,2005,2
1614,2005,3
2439,2005,4
2398,2005,5
2361,2005,6
2439,2005,7
2274,2005,8
2269,2005,9
2351,2005,10
2228,2005,11
2485,2005,12
1985,2006,1
2437,2006,2
3307,2006,3
3535,2006,4
3810,2006,5
3464,2006,6
3267,2006,7
3776,2006,8
3672,2006,9
3958,2006,10
3469,2006,11
3531,2006,12
3471,2007,1
3291,2007,2
5451,2007,3
5558,2007,4
6473,2007,5
6336,2007,6
6410,2007,7
6232,2007,8
5487,2007,9
6578,2007,10
5179,2007,11
4772,2007,12
5589,2008,1
5836,2008,2
6259,2008,3
8289,2008,4
7105,2008,5
6133,2008,6
6991,2008,7
5426,2008,8
5415,2008,9
6059,2008,10
4014,2008,11
3806,2008,12
2560,2009,1
2753,2009,2
3927,2009,3
5067,2009,4
4432,2009,5
4085,2009,6
4091,2009,7
3399,2009,8
3154,2009,9
2942,2009,10
2433,2009,11
2591,2009,12
1937,2010,1
2130,2010,2
3567,2010,3
4371,2010,4
4524,2010,5
4663,2010,6
5001,2010,7
4796,2010,8
4451,2010,9
4813,2010,10
4388,2010,11
3754,2010,12
3667,2011,1
3929,2011,2
5484,2011,3
5889,2011,4
5841,2011,5
5897,2011,6
6580,2011,7
7232,2011,8
7260,2011,9
7424,2011,10
6782,2011,11
6521,2011,12
5997,2012,1
5593,2012,2
8199,2012,3
8200,2012,4
8798,2012,5
8492,2012,6
8208,2012,7
7824,2012,8
7548,2012,9
8104,2012,10
6991,2012,11
6093,2012,12
6207,2013,1
6595,2013,2
8235,2013,3
9244,2013,4
9973,2013,5
9009,2013,6
10088,2013,7
8906,2013,8
8025,2013,9
9332,2013,10
7809,2013,11
7091,2013,12
6933,2014,1
7524,2014,2
9661,2014,3
10583,2014,4
10377,2014,5
11169,2014,6
8871,2014,7
8780,2014,8
8540,2014,9
9429,2014,10
7676,2014,11
7617,2014,12
7419,2015,1
7304,2015,2
9597,2015,3
10830,2015,4
10712,2015,5
10161,2015,6
10837,2015,7
9528,2015,8
9565,2015,9
9802,2015,10
8040,2015,11
8182,2015,12
7090,2016,1
8350,2016,2
10624,2016,3
12248,2016,4
11480,2016,5
10972,2016,6
11381,2016,7
10893,2016,8
10727,2016,9
10310,2016,10
9498,2016,11
9247,2016,12
9146,2017,1
9397,2017,2
12829,2017,3
13152,2017,4
13829,2017,5
13094,2017,6
12822,2017,7
13343,2017,8
11940,2017,9
12467,2017,10
11205,2017,11
10445,2017,12
11039,2018,1
10252,2018,2
13500,2018,3
14964,2018,4
16238,2018,5
15223,2018,6
14852,2018,7
15486,2018,8
13683,2018,9
15117,2018,10
12637,2018,11
10805,2018,12
11628,2019,1
11532,2019,2
15013,2019,3
17899,2019,4
16818,2019,5
14770,2019,6
16616,2019,7
15569,2019,8
13403,2019,9
16503,2019,10
13822,2019,11
12929,2019,12
12360,2020,1
12573,2020,2
7270,2020,3
8768,2020,4
12553,2020,5
18906,2020,6
14475,2020,7
13177,2020,8
14384,2020,9
14480,2020,10
11688,2020,11
10394,2020,12
9345,2021,1
10240,2021,2
15581,2021,3
18873,2021,4
15780,2021,5
17101,2021,6
17307,2021,7
15512,2021,8
15975,2021,9
14904,2021,10
13095,2021,11
12569,2021,12
11668,2022,1
11449,2022,2
14997,2022,3
15726,2022,4
15946,2022,5
15258,2022,6
15617,2022,7
15559,2022,8
15131,2022,9
15150,2022,10
13564,2022,11
11184,2022,12
12891,2023,1
13038,2023,2
16822,2023,3
16629,2023,4
17715,2023,5
17289,2023,6
16058,2023,7
15775,2023,8
14995,2023,9
14921,2023,10
13033,2023,11
11665,2023,12
11914,2024,1
13368,2024,2
16130,2024,3
17435,2024,4
19238,2024,5
