KIEKIS,PIRM_REG_METAI_LT,PIRM_REG_MEN_LT,PIRM_REG_DIENA_LT
162,2014,6,2
578,2014,6,3
450,2014,6,4
375,2014,6,5
406,2014,6,6
423,2014,6,7
161,2014,6,9
578,2014,6,10
435,2014,6,11
370,2014,6,12
425,2014,6,13
429,2014,6,14
189,2014,6,16
613,2014,6,17
432,2014,6,18
435,2014,6,19
497,2014,6,20
481,2014,6,21
200,2014,6,23
787,2014,6,25
684,2014,6,26
817,2014,6,27
804,2014,6,28
438,2014,6,30
213,2014,7,1
285,2014,7,2
326,2014,7,3
333,2014,7,4
228,2014,7,5
127,2014,7,7
409,2014,7,8
351,2014,7,9
321,2014,7,10
379,2014,7,11
301,2014,7,12
114,2014,7,14
496,2014,7,15
425,2014,7,16
395,2014,7,17
367,2014,7,18
319,2014,7,19
120,2014,7,21
495,2014,7,22
406,2014,7,23
389,2014,7,24
365,2014,7,25
301,2014,7,26
161,2014,7,28
477,2014,7,29
405,2014,7,30
363,2014,7,31
372,2014,8,1
338,2014,8,2
134,2014,8,4
467,2014,8,5
272,2014,8,6
423,2014,8,7
421,2014,8,8
333,2014,8,9
162,2014,8,11
462,2014,8,12
440,2014,8,13
370,2014,8,14
303,2014,8,16
151,2014,8,18
467,2014,8,19
400,2014,8,20
410,2014,8,21
384,2014,8,22
316,2014,8,23
184,2014,8,25
490,2014,8,26
396,2014,8,27
366,2014,8,28
398,2014,8,29
321,2014,8,30
109,2014,9,1
447,2014,9,2
360,2014,9,3
318,2014,9,4
354,2014,9,5
329,2014,9,6
128,2014,9,8
450,2014,9,9
358,2014,9,10
339,2014,9,11
408,2014,9,12
305,2014,9,13
135,2014,9,15
501,2014,9,16
346,2014,9,17
323,2014,9,18
349,2014,9,19
349,2014,9,20
134,2014,9,22
459,2014,9,23
336,2014,9,24
357,2014,9,25
373,2014,9,26
326,2014,9,27
132,2014,9,29
515,2014,9,30
393,2014,10,1
342,2014,10,2
347,2014,10,3
358,2014,10,4
142,2014,10,6
436,2014,10,7
386,2014,10,8
341,2014,10,9
400,2014,10,10
327,2014,10,11
129,2014,10,13
479,2014,10,14
384,2014,10,15
345,2014,10,16
376,2014,10,17
328,2014,10,18
159,2014,10,20
430,2014,10,21
360,2014,10,22
297,2014,10,23
371,2014,10,24
330,2014,10,25
121,2014,10,27
472,2014,10,28
474,2014,10,29
473,2014,10,30
429,2014,10,31
147,2014,11,3
438,2014,11,4
366,2014,11,5
297,2014,11,6
367,2014,11,7
322,2014,11,8
114,2014,11,10
492,2014,11,11
366,2014,11,12
354,2014,11,13
360,2014,11,14
319,2014,11,15
142,2014,11,17
447,2014,11,18
298,2014,11,19
317,2014,11,20
341,2014,11,21
302,2014,11,22
134,2014,11,24
433,2014,11,25
351,2014,11,26
331,2014,11,27
352,2014,11,28
286,2014,11,29
113,2014,12,1
431,2014,12,2
303,2014,12,3
284,2014,12,4
315,2014,12,5
301,2014,12,6
141,2014,12,8
397,2014,12,9
333,2014,12,10
328,2014,12,11
319,2014,12,12
333,2014,12,13
130,2014,12,15
432,2014,12,16
341,2014,12,17
329,2014,12,18
362,2014,12,19
327,2014,12,20
171,2014,12,22
601,2014,12,23
279,2014,12,27
150,2014,12,29
559,2014,12,30
338,2014,12,31
286,2015,1,2
155,2015,1,3
120,2015,1,5
372,2015,1,6
284,2015,1,7
272,2015,1,8
318,2015,1,9
252,2015,1,10
110,2015,1,12
355,2015,1,13
259,2015,1,14
277,2015,1,15
321,2015,1,16
284,2015,1,17
130,2015,1,19
386,2015,1,20
488,2015,1,21
318,2015,1,22
300,2015,1,23
262,2015,1,24
150,2015,1,26
426,2015,1,27
322,2015,1,28
318,2015,1,29
363,2015,1,30
291,2015,1,31
115,2015,2,2
409,2015,2,3
335,2015,2,4
296,2015,2,5
325,2015,2,6
281,2015,2,7
119,2015,2,9
382,2015,2,10
333,2015,2,11
288,2015,2,12
323,2015,2,13
287,2015,2,14
343,2015,2,17
335,2015,2,18
337,2015,2,19
381,2015,2,20
349,2015,2,21
163,2015,2,23
462,2015,2,24
365,2015,2,25
378,2015,2,26
352,2015,2,27
346,2015,2,28
131,2015,3,2
453,2015,3,3
335,2015,3,4
320,2015,3,5
375,2015,3,6
366,2015,3,7
148,2015,3,9
462,2015,3,10
432,2015,3,12
425,2015,3,13
394,2015,3,14
181,2015,3,16
566,2015,3,17
453,2015,3,18
444,2015,3,19
436,2015,3,20
411,2015,3,21
162,2015,3,23
548,2015,3,24
450,2015,3,25
376,2015,3,26
467,2015,3,27
393,2015,3,28
195,2015,3,30
674,2015,3,31
535,2015,4,1
509,2015,4,2
474,2015,4,3
409,2015,4,4
391,2015,4,7
439,2015,4,8
457,2015,4,9
510,2015,4,10
443,2015,4,11
212,2015,4,13
557,2015,4,14
402,2015,4,15
422,2015,4,16
469,2015,4,17
392,2015,4,18
156,2015,4,20
565,2015,4,21
445,2015,4,22
442,2015,4,23
484,2015,4,24
416,2015,4,25
174,2015,4,27
537,2015,4,28
514,2015,4,29
476,2015,4,30
372,2015,5,2
169,2015,5,4
610,2015,5,5
515,2015,5,6
461,2015,5,7
497,2015,5,8
435,2015,5,9
169,2015,5,11
597,2015,5,12
476,2015,5,13
455,2015,5,14
445,2015,5,15
406,2015,5,16
196,2015,5,18
584,2015,5,19
441,2015,5,20
402,2015,5,21
472,2015,5,22
423,2015,5,23
178,2015,5,25
578,2015,5,26
460,2015,5,27
499,2015,5,28
437,2015,5,29
435,2015,5,30
162,2015,6,1
600,2015,6,2
449,2015,6,3
401,2015,6,4
469,2015,6,5
344,2015,6,6
1,2015,6,7
147,2015,6,8
555,2015,6,9
514,2015,6,10
411,2015,6,11
438,2015,6,12
361,2015,6,13
174,2015,6,15
546,2015,6,16
417,2015,6,17
411,2015,6,18
430,2015,6,19
391,2015,6,20
187,2015,6,22
622,2015,6,23
234,2015,6,25
638,2015,6,26
431,2015,6,27
182,2015,6,29
646,2015,6,30
494,2015,7,1
444,2015,7,2
494,2015,7,3
316,2015,7,4
356,2015,7,7
439,2015,7,8
428,2015,7,9
427,2015,7,10
367,2015,7,11
180,2015,7,13
591,2015,7,14
449,2015,7,15
502,2015,7,16
440,2015,7,17
399,2015,7,18
166,2015,7,20
574,2015,7,21
424,2015,7,22
444,2015,7,23
462,2015,7,24
377,2015,7,25
178,2015,7,27
563,2015,7,28
481,2015,7,29
420,2015,7,30
422,2015,7,31
381,2015,8,1
143,2015,8,3
533,2015,8,4
460,2015,8,5
383,2015,8,6
403,2015,8,7
300,2015,8,8
140,2015,8,10
529,2015,8,11
434,2015,8,12
418,2015,8,13
441,2015,8,14
209,2015,8,17
591,2015,8,18
437,2015,8,19
417,2015,8,20
425,2015,8,21
340,2015,8,22
170,2015,8,24
500,2015,8,25
412,2015,8,26
407,2015,8,27
477,2015,8,28
388,2015,8,29
190,2015,8,31
433,2015,9,1
419,2015,9,2
396,2015,9,3
392,2015,9,4
329,2015,9,5
146,2015,9,7
555,2015,9,8
365,2015,9,9
364,2015,9,10
410,2015,9,11
314,2015,9,12
161,2015,9,14
476,2015,9,15
421,2015,9,16
339,2015,9,17
369,2015,9,18
298,2015,9,19
146,2015,9,21
460,2015,9,22
398,2015,9,23
414,2015,9,24
404,2015,9,25
382,2015,9,26
176,2015,9,28
552,2015,9,29
446,2015,9,30
345,2015,10,1
401,2015,10,2
349,2015,10,3
168,2015,10,5
481,2015,10,6
423,2015,10,7
349,2015,10,8
393,2015,10,9
351,2015,10,10
150,2015,10,12
493,2015,10,13
386,2015,10,14
374,2015,10,15
400,2015,10,16
369,2015,10,17
157,2015,10,19
512,2015,10,20
400,2015,10,21
350,2015,10,22
412,2015,10,23
355,2015,10,24
167,2015,10,26
508,2015,10,27
394,2015,10,28
383,2015,10,29
440,2015,10,30
292,2015,10,31
147,2015,11,2
410,2015,11,3
361,2015,11,4
393,2015,11,5
374,2015,11,6
321,2015,11,7
149,2015,11,9
431,2015,11,10
343,2015,11,11
311,2015,11,12
371,2015,11,13
301,2015,11,14
158,2015,11,16
452,2015,11,17
364,2015,11,18
346,2015,11,19
386,2015,11,20
330,2015,11,21
140,2015,11,23
414,2015,11,24
375,2015,11,25
320,2015,11,26
380,2015,11,27
301,2015,11,28
162,2015,11,30
436,2015,12,1
309,2015,12,2
298,2015,12,3
313,2015,12,4
272,2015,12,5
140,2015,12,7
432,2015,12,8
338,2015,12,9
318,2015,12,10
357,2015,12,11
291,2015,12,12
126,2015,12,14
447,2015,12,15
332,2015,12,16
323,2015,12,17
344,2015,12,18
350,2015,12,19
191,2015,12,21
621,2015,12,22
541,2015,12,23
138,2015,12,28
582,2015,12,29
412,2015,12,30
271,2015,12,31
91,2016,1,2
167,2016,1,4
404,2016,1,5
280,2016,1,6
265,2016,1,7
285,2016,1,8
258,2016,1,9
119,2016,1,11
386,2016,1,12
334,2016,1,13
303,2016,1,14
353,2016,1,15
277,2016,1,16
116,2016,1,18
414,2016,1,19
302,2016,1,20
285,2016,1,21
304,2016,1,22
261,2016,1,23
118,2016,1,25
427,2016,1,26
391,2016,1,27
338,2016,1,28
366,2016,1,29
246,2016,1,30
147,2016,2,1
399,2016,2,2
372,2016,2,3
328,2016,2,4
379,2016,2,5
300,2016,2,6
137,2016,2,8
491,2016,2,9
409,2016,2,10
362,2016,2,11
374,2016,2,12
332,2016,2,13
150,2016,2,15
527,2016,2,17
436,2016,2,18
430,2016,2,19
388,2016,2,20
176,2016,2,22
512,2016,2,23
398,2016,2,24
357,2016,2,25
407,2016,2,26
374,2016,2,27
165,2016,2,29
537,2016,3,1
